prot1,prot2,str_score,protpep_score,str_max_score,red_score,ort_score,phy_score,coexp_score,go_score,total_score,final_score
Q86Z23,Q92838,253.71599999999998,0.0,253.71599999999998,0.5125,0.0,2.416,2.1077,0.0,662.137,662.137
P08575,P01375,5.4987,3.52956,5.4987,1.0145,0.0,2.416,2.1077,69.61,1977.38,1977.38
Q9H257,P01375,0.9682,0.0,0.9682,1.7092,0.0,2.416,1.5818,105.17,665.117,665.117
P42224,O14788,1.6435,20.6892,20.6892,19.2898,0.0,2.416,1.5818,24.11,36772.0,36772.0
P01023,P01375,7.644,0.0,7.644,2.3254,0.0,2.416,1.1757,105.17,5310.11,5310.11
P20749,P01375,1.2142,1.3387799999999999,1.3387799999999999,0.0,0.6153,2.416,3.9008,105.17,816.467,816.467
Q9BXJ5,P01375,45.9762,3.52956,45.9762,1.2535,0.0,2.416,0.6915,69.61,6702.21,6702.21
O15444,P01375,4.5731,0.0,4.5731,2.3588,0.0,2.416,1.1757,24.11,738.7410000000001,738.7410000000001
P42224,O43508,1.4802,14.0845,14.0845,15.8699,0.0,2.013,1.5818,5.86,4170.7,4170.7
P63165,P01375,2.3512,0.0,2.3512,19.2898,0.0,2.013,1.1757,69.61,7471.87,7471.87
P63165,P48023,1.8531,0.0,1.8531,19.2898,0.0,2.013,0.7126,2.07,106.14200000000001,191273.0
Q15848,P01374,45.9762,0.0,45.9762,0.9127,0.0,2.416,0.6915,10.8,757.1360000000001,757.1360000000001
Q5VWW1,O75888,253.71599999999998,0.0,253.71599999999998,0.9127,0.0,2.416,1.1757,0.0,657.763,657.763
P42224,P01375,1.6435,20.6892,20.6892,15.8699,0.0,2.416,1.5818,69.61,87345.0,87345.0
P40763,O43557,1.9487,20.6892,20.6892,19.2898,0.0,2.416,2.1077,2.07,4206.76,4206.76
P40763,P01374,1.9487,13.0046,13.0046,20.9141,0.0,2.416,1.5818,2.07,2151.57,2151.57
O95999,P01375,1.02,0.0,1.02,1.2535,0.0,2.416,2.1077,105.17,684.7339999999999,684.7339999999999
Q15848,P50591,45.9762,0.0,45.9762,0.5125,0.0,2.416,2.1077,24.11,2892.88,2892.88
Q04206,O95150,2.6756,0.0,2.6756,3.8142,0.6153,2.416,2.1077,24.11,770.929,770.929
Q5T7M4,P48023,45.9762,0.0,45.9762,1.7092,0.0,2.416,3.9008,0.0,740.5880000000001,740.5880000000001
P20160,P01375,3.109,6.7087,6.7087,1.2535,0.6153,2.416,1.1757,181.01,2660.39,2660.39
Q9BXJ1,P01375,253.71599999999998,0.0,253.71599999999998,1.2535,0.0,2.416,2.1077,0.4,647.7959999999999,647.7959999999999
B2RNN3,P01375,253.71599999999998,0.0,253.71599999999998,1.2535,0.0,2.416,1.1757,0.0,903.3710000000001,903.3710000000001
P01023,O14788,6.3361,5.43,6.3361,2.3254,0.0,2.416,1.5818,105.17,5921.89,5921.89
B2RNN3,Q92838,253.71599999999998,0.0,253.71599999999998,0.5125,0.0,2.416,2.1077,0.0,662.137,662.137
P08575,O14788,4.5731,3.52956,4.5731,1.2535,0.0,2.416,2.1077,24.11,703.7819999999999,703.7819999999999
Q5VWW1,P41273,253.71599999999998,0.0,253.71599999999998,0.0,0.0,0.0,2.7714,0.0,703.1489999999999,703.1489999999999
P05231,P01375,1.2142,0.0,1.2142,1.2535,0.0,2.416,5.6875,181.01,3785.61,3785.61
P26842,P23510,43.0172,0.0,43.0172,0.5125,0.0,2.416,1.5818,24.11,2031.34,2031.34
Q9BXL6,O95150,3.1848,3.52956,3.52956,0.0,0.6153,2.416,1.1757,181.01,1116.62,1116.62
O15519,Q9Y275,1.2704,12.1994,12.1994,1.2535,0.0,2.416,3.9008,5.86,844.5219999999999,844.5219999999999
O43524,O14788,1.6503,0.0,1.6503,1.0145,0.0,2.416,2.7714,69.61,780.3380000000001,780.3380000000001
P80075,P29965,25.2364,0.0,25.2364,1.7951,0.0,2.416,1.1757,5.86,754.062,754.062
P42224,P50591,1.6435,20.6892,20.6892,19.2898,0.0,2.416,9.4687,10.8,98601.3,98601.3
P55210,P01375,1.5955,12.1994,12.1994,1.0145,9.7902,2.416,1.5818,5.86,2713.49,2713.49
Q04864,Q06643,3.1219,0.0,3.1219,0.5125,0.0,2.416,1.5818,181.01,1106.79,1106.79
Q7Z5L3,P01375,253.71599999999998,0.0,253.71599999999998,1.7092,0.0,2.416,1.1757,0.0,1231.78,1231.78
P63165,P23510,1.7316,0.0,1.7316,15.8699,0.0,1.5978,1.1757,69.61,3593.46,3593.46
P01023,Q9Y275,9.5575,0.0,9.5575,2.3254,0.0,2.416,2.7714,10.8,1607.17,1607.17
P78552,Q9Y275,5.4412,5.43,5.4412,0.0,0.0,2.416,3.9008,105.17,5393.08,5393.08
P13501,P48023,4.5731,9.80166,9.80166,2.3588,0.0,2.416,9.4687,10.8,5712.18,5712.18
Q06124,P23510,1.5932,23.2116,23.2116,2.0764,0.0,1.5978,1.1757,24.11,2182.89,2182.89
O75973,P01375,253.71599999999998,0.0,253.71599999999998,1.2535,0.0,2.416,2.7714,0.31,660.1310000000001,660.1310000000001
O95999,Q92838,1.02,5.24327,5.24327,0.5125,0.0,2.416,1.5818,69.61,714.852,714.852
Q15848,P01375,45.9762,0.0,45.9762,1.2535,0.0,2.416,1.5818,181.01,39866.5,39866.5
Q7Z7G1,P48023,4.5731,23.2116,23.2116,2.3588,0.0,0.0,2.7714,5.86,889.187,889.187
P40763,O14788,1.7387,20.6892,20.6892,15.8699,0.0,2.416,1.1757,69.61,64920.7,64920.7
P40763,P23510,1.8315,23.2116,23.2116,21.3884,0.0,2.013,2.1077,5.86,12343.4,12343.4
P05231,Q9Y275,1.8315,0.0,1.8315,0.5125,0.0,2.416,2.1077,181.01,865.185,865.185
Q6UWB1,P23510,3.8101,0.0,3.8101,0.0,0.0,2.416,2.1077,105.17,2040.49,2040.49
P40763,P01375,2.2022,20.6892,20.6892,15.8699,0.0,2.416,2.1077,69.61,116385.0,116385.0
P26022,P01375,5.0523,0.0,5.0523,0.9127,0.0,2.416,2.1077,105.17,2469.53,2469.53
Q06124,O43557,2.0697,20.6892,20.6892,2.4090000000000003,0.0,2.013,1.5818,24.11,3826.25,3826.25
Q99801,P01375,1.2704,0.0,1.2704,1.7092,0.0,2.013,2.7714,181.01,2192.7,2192.7
Q9BXJ5,O95150,45.9762,3.52956,45.9762,0.0,0.0,2.416,1.1757,5.86,765.2869999999999,765.2869999999999
P20160,Q06643,5.4412,7.40526,7.40526,0.0,0.0,0.0,1.1757,69.61,606.05,606.05
Q9Y6C2,O14788,45.9762,3.52956,45.9762,0.5125,0.0,2.416,2.1077,24.11,2892.88,2892.88
P26842,P48023,66.1952,9.80166,66.1952,2.3588,0.0,2.416,3.9008,10.8,15892.5,15892.5
Q9UNE0,Q06643,45.9762,4.98492,45.9762,0.9127,0.0,2.013,1.5818,10.8,1443.05,1443.05
P20749,Q9Y275,1.8315,3.86531,3.86531,0.0,0.0,2.416,2.7714,181.01,4684.71,4684.71
Q15848,Q9Y275,87.8085,0.0,87.8085,0.5125,0.0,2.416,1.5818,5.86,1007.81,1007.81
P17213,P01375,1.6503,0.0,1.6503,0.0,0.0,2.416,1.1757,181.01,848.5139999999999,848.5139999999999
Q9BXJ2,O14788,45.9762,0.0,45.9762,0.5125,0.0,2.416,1.1757,24.11,1613.68,1613.68
O15519,P48023,1.02,0.0,1.02,1.2535,30.1977,2.416,2.1077,24.11,4740.25,4540310.0
P78552,P23510,3.8101,2.59,3.8101,0.0,0.0,2.416,1.5818,105.17,1531.36,1531.36
P08575,O75888,4.5731,3.52956,4.5731,1.2535,0.0,2.416,2.7714,69.61,2671.79,2671.79
P80075,P01375,25.2364,0.0,25.2364,2.3588,0.0,2.416,1.5818,10.8,2456.92,2456.92
P05231,P23510,1.2265,0.0,1.2265,0.0,0.0,2.416,2.1077,181.01,1130.51,1130.51
P78560,P48023,1.02,0.0,1.02,1.7092,0.0,2.416,1.1757,181.01,896.3739999999999,896.3739999999999
Q5VWW1,P01375,253.71599999999998,0.0,253.71599999999998,1.2535,0.0,2.416,1.1757,0.0,903.3710000000001,903.3710000000001
Q9BXJ3,P01375,253.71599999999998,0.0,253.71599999999998,1.2535,0.0,2.013,2.7714,0.0,1774.25,1774.25
Q06830,P01375,1.5396,0.0,1.5396,2.3254,13.3811,2.013,1.1757,105.17,11924.2,11924.2
P42224,P32971,1.6435,14.0867,14.0867,15.8699,0.0,2.416,2.1077,5.86,6670.94,6670.94
O75973,O14788,253.71599999999998,5.43,253.71599999999998,0.5125,0.0,0.0,2.7714,5.86,2111.73,2111.73
P26842,P50591,299.41900000000004,0.0,299.41900000000004,0.9127,0.0,2.416,2.1077,10.8,15029.3,15029.3
P26842,P32970,84.9724,0.0,84.9724,1.1877,0.0,2.416,2.1077,5.86,3011.54,13930300.0
P40763,O43508,2.4439,14.0845,14.0845,21.3884,0.0,2.013,1.5818,2.07,1985.57,1985.57
Q9ULZ3,P01375,1.02,0.0,1.02,1.2535,0.0,2.416,1.5818,181.01,884.455,884.455
Q9BXJ5,O14788,45.9762,3.52956,45.9762,0.5125,0.0,2.416,2.1077,24.11,2892.88,2892.88
Q15848,O14788,45.9762,3.86531,45.9762,0.5125,0.0,2.416,1.5818,181.01,16299.6,16299.6
Q9BXJ1,O14788,45.9762,3.86531,45.9762,0.5125,0.0,0.0,2.7714,24.11,1574.43,1574.43
P63167,P48023,3.1818,0.0,3.1818,2.3254,0.0,0.0,1.1757,105.17,914.8689999999999,914.8689999999999
P40763,P50591,1.9487,20.6892,20.6892,15.8699,0.0,2.416,9.4687,2.07,15548.0,15548.0
P10909,P01375,0.0,0.0,0.0,1.2535,0.0,2.416,1.1757,24.11,85.845,82224.1
Q9Y6C2,P01375,45.9762,3.52956,45.9762,1.2535,0.0,2.416,1.1757,24.11,3946.83,3946.83
Q04206,Q9Y275,2.9486,3.86531,3.86531,4.2492,0.0,2.416,1.5818,10.8,677.8969999999999,677.8969999999999
P14174,O75888,1.6503,0.0,1.6503,2.3254,0.0,2.013,1.5818,69.61,850.6039999999999,850.6039999999999
Q6UWB1,O75888,5.4412,3.52956,5.4412,0.0,0.0,0.0,2.1077,181.01,2075.9,2075.9
P26842,Q9UNG2,84.9724,0.0,84.9724,0.0,0.0,2.416,1.1757,5.86,1414.39,1414.39
Q04206,P48023,2.5395,0.0,2.5395,4.2492,0.6153,2.416,1.5818,24.11,611.77,611.77
P13501,O14788,4.5731,3.86531,4.5731,1.7951,0.0,2.416,1.5818,181.01,5678.72,5678.72
Q06124,P50591,4.5731,20.6892,20.6892,2.4090000000000003,0.0,2.416,1.5818,5.86,1116.16,1116.16
Q5VWW1,Q92838,997.34,0.0,997.34,0.5125,0.0,2.416,2.7714,0.0,3422.42,3422.42
P01023,P48023,6.3361,62.31,62.31,2.3254,0.0,2.416,1.1757,2.07,851.96,851.96
P04792,P01375,2.6756,0.0,2.6756,2.3254,0.6153,2.416,1.1757,69.61,756.956,725028.0
P01023,O75888,9.5575,0.0,9.5575,2.3254,0.0,2.416,1.5818,24.11,2047.8,2047.8
Q86VX2,O14788,0.0,0.0,0.0,0.0,0.0,2.013,2.1077,181.01,767.9889999999999,767.9889999999999
P78552,O75888,4.5353,0.0,4.5353,0.5125,0.0,2.416,2.7714,105.17,1636.77,1636.77
P42224,P41273,1.6435,13.0046,13.0046,19.2898,0.0,1.5978,1.1757,2.07,975.47,975.47
P41159,P01375,1.3385,0.0,1.3385,1.2535,0.0,2.416,1.5818,105.17,674.346,674.346
O75973,Q92838,997.34,3.84,997.34,0.5125,0.0,2.416,5.6875,0.31,2177.29,2177.29
Q9H7M9,O43508,33.1143,3.52956,33.1143,0.0,0.0,2.013,9.4687,0.0,631.175,631.175
P10147,P01375,4.5731,0.0,4.5731,2.3588,0.0,2.416,3.9008,105.17,10691.6,10691.6
Q04864,P01375,3.1219,0.0,3.1219,1.2535,0.6153,2.416,3.9008,69.61,1579.62,1579.62
P42224,O43557,1.4777,20.6892,20.6892,19.2898,0.0,2.416,1.5818,10.8,16471.9,16471.9
Q04206,P01375,2.4032,0.0,2.4032,4.2492,0.6153,2.416,2.1077,69.61,2227.21,2227.21
Q15848,P48023,45.9762,9.80166,45.9762,1.7092,0.0,2.416,1.1757,24.11,5381.66,5381.66
P40763,P48023,2.0697,23.2116,23.2116,15.8699,0.0,2.416,1.5818,24.11,33941.0,33941.0
Q06124,O14788,2.0697,20.6892,20.6892,2.4090000000000003,0.0,1.5978,2.1077,69.61,11683.8,11683.8
P14174,P01374,1.6503,0.0,1.6503,2.4090000000000003,0.0,2.013,1.1757,69.61,654.955,654.955
P26842,O43557,66.1952,0.0,66.1952,0.9127,0.0,2.416,2.1077,181.01,55688.2,55688.2
Q06124,P48023,2.0697,23.2116,23.2116,2.4090000000000003,0.6153,2.416,1.5818,5.86,770.5039999999999,770.5039999999999
P40763,O95150,2.2022,23.6638,23.6638,15.8699,0.0,2.416,2.1077,2.07,3958.54,3958.54
P14174,O14788,1.6435,0.0,1.6435,2.3254,0.0,2.013,1.5818,69.61,847.0989999999999,847.0989999999999
