prot1,prot2,str_score,protpep_score,str_max_score,red_score,ort_score,phy_score,coexp_score,go_score,total_score,final_score
Q9NR96,Q9Y275,25.2364,8.950239999999999,25.2364,0.0,0.0,2.416,1.1757,10.8,774.185,774.185
P10599,P01375,4.5731,3.52956,4.5731,2.3254,0.0,0.0,1.5818,69.61,1170.93,1170.93
Q9UNE0,P01375,45.9762,4.98492,45.9762,1.7092,0.0,2.416,1.1757,10.8,2410.7,2410.7
P10147,P48023,4.5731,62.31,62.31,2.3588,0.0,2.416,3.9008,0.0,1385.16,1385.16
Q8IUC6,P01375,1.4777,3.52956,3.52956,1.2535,0.0,2.416,2.7714,181.01,5362.21,5362.21
Q15848,Q06643,45.9762,0.0,45.9762,0.9127,0.0,2.013,1.1757,10.8,1072.57,1072.57
Q9BXN2,Q9Y275,5.4987,0.0,5.4987,0.5125,0.0,2.416,18.4426,10.8,1356.12,1356.12
Q6UWB1,Q9Y275,8.8266,5.4591199999999995,8.8266,0.0,0.0,2.416,2.1077,105.17,4727.06,4727.06
P05362,O43557,5.4987,0.0,5.4987,2.3254,0.0,2.013,2.7714,10.8,770.414,770.414
P31749,P29965,1.9308,4.58774,4.58774,3.8142,0.0,2.013,1.5818,10.8,601.757,601.757
O60674,P50591,4.5731,20.6892,20.6892,2.0764,0.0,2.416,9.4687,10.8,10613.7,10613.7
O00206,O43557,5.4987,3.52956,5.4987,0.0,0.0,2.416,1.5818,181.01,3803.74,3803.74
Q9Y616,P01375,1.4802,4.98492,4.98492,1.7092,0.6153,2.416,2.7714,181.01,6353.85,6353.85
O60603,Q9Y275,5.4987,3.52956,5.4987,0.0,0.0,2.416,18.4426,24.11,5907.13,5907.13
Q13291,P48023,6.0007,0.0,6.0007,1.7092,0.0,2.416,5.6875,5.86,825.868,825.868
Q08722,Q9Y275,6.0007,3.52956,6.0007,0.9127,0.0,2.416,2.7714,24.11,884.145,884.145
Q9BZS1,Q9Y275,6.0007,0.0,6.0007,0.0,0.0,2.416,1.1757,69.61,1186.5,1186.5
Q9UBU3,P48023,0.0,0.0,0.0,0.0,0.0,2.416,3.9008,69.61,656.028,656.028
P28482,P01375,1.3385,4.98492,4.98492,4.2492,0.6153,1.5978,1.1757,69.61,1704.29,1704.29
P22301,O43557,1.2142,3.52956,3.52956,0.9127,0.0,2.416,2.1077,105.17,1725.23,1725.23
P08575,P01375,5.4987,3.52956,5.4987,1.0145,0.0,2.416,2.1077,69.61,1977.38,1977.38
P27986,P23510,1.9487,23.2116,23.2116,3.8142,0.0,2.013,1.5818,10.8,3044.58,3044.58
P04637,Q9Y275,2.3512,0.0,2.3512,19.2898,0.0,0.0,1.1757,24.11,1285.62,1285.62
P29590,P23510,1.7387,0.0,1.7387,4.2492,0.0,2.416,1.5818,24.11,680.7339999999999,680.7339999999999
Q9H257,P01375,0.9682,0.0,0.9682,1.7092,0.0,2.416,1.5818,105.17,665.117,665.117
P42224,O14788,1.6435,20.6892,20.6892,19.2898,0.0,2.416,1.5818,24.11,36772.0,36772.0
P01023,P01375,7.644,0.0,7.644,2.3254,0.0,2.416,1.1757,105.17,5310.11,5310.11
P20749,P01375,1.2142,1.3387799999999999,1.3387799999999999,0.0,0.6153,2.416,3.9008,105.17,816.467,816.467
Q9UBK2,P01375,4.803999999999999,0.0,4.803999999999999,2.3588,0.0,2.416,1.1757,69.61,2240.57,2240.57
P05362,Q9Y275,6.0007,0.0,6.0007,2.3254,0.0,2.013,5.6875,10.8,1725.39,1725.39
O15444,P01375,4.5731,0.0,4.5731,2.3588,0.0,2.416,1.1757,24.11,738.7410000000001,738.7410000000001
P21580,P01375,2.4032,3.52956,3.52956,1.0145,0.0,2.416,3.9008,10.8,364.458,1685850.0
P78536,P01375,1.8315,0.0,1.8315,1.0145,5000.0,2.416,1.5818,105.17,52830300000.0,95200000000000.0
O00206,Q9Y275,25.2364,3.52956,25.2364,0.0,0.0,2.416,5.6875,105.17,36470.2,36470.2
P38398,P23510,1.2265,0.0,1.2265,21.3884,0.0,2.416,1.1757,10.8,804.7539999999999,804.7539999999999
O60674,O43557,2.2022,20.6892,20.6892,2.4090000000000003,0.0,2.416,1.5818,69.61,13258.7,13258.7
P16150,O43557,0.0,0.0,0.0,0.9127,0.0,2.013,3.9008,181.01,1297.26,1297.26
P42224,O43508,1.4802,14.0845,14.0845,15.8699,0.0,2.013,1.5818,5.86,4170.7,4170.7
P04637,O43508,1.8315,0.0,1.8315,19.2898,0.0,2.013,2.1077,5.86,878.385,878.385
Q08722,O14788,6.0007,3.52956,6.0007,0.5125,0.0,2.416,1.5818,181.01,2127.39,2127.39
Q15399,Q9Y275,5.4987,3.52956,5.4987,0.0,0.0,2.416,18.4426,5.86,1435.74,1435.74
Q8NHL6,P01375,6.0007,0.0,6.0007,15.8699,0.0,1.5978,1.5818,10.8,2599.4,2599.4
Q15848,P01374,45.9762,0.0,45.9762,0.9127,0.0,2.416,0.6915,10.8,757.1360000000001,757.1360000000001
P01579,P01375,1.8315,0.0,1.8315,1.0145,0.0,0.0,3.9008,181.01,1311.94,2364180.0
Q13418,P50591,2.0531,3.52956,3.52956,4.2492,0.0,2.013,3.9008,10.8,1271.89,1271.89
P42224,P01375,1.6435,20.6892,20.6892,15.8699,0.0,2.416,1.5818,69.61,87345.0,87345.0
P40763,O43557,1.9487,20.6892,20.6892,19.2898,0.0,2.416,2.1077,2.07,4206.76,4206.76
O15111,P50591,3.1848,6.05575,6.05575,2.0764,0.6153,2.416,2.1077,24.11,949.88,949.88
P40763,P01374,1.9487,13.0046,13.0046,20.9141,0.0,2.416,1.5818,2.07,2151.57,2151.57
O95999,P01375,1.02,0.0,1.02,1.2535,0.0,2.416,2.1077,105.17,684.7339999999999,684.7339999999999
Q15848,P50591,45.9762,0.0,45.9762,0.5125,0.0,2.416,2.1077,24.11,2892.88,2892.88
Q13418,O43508,2.0531,7.40526,7.40526,3.5815,0.0,1.5978,3.9008,5.86,968.677,968.677
P22301,P48023,0.9682,3.52956,3.52956,1.2535,0.0,2.416,5.6875,10.8,656.579,656.579
Q92974,O14788,1.8315,3.51,3.51,0.0,0.0,2.416,1.1757,69.61,694.02,694.02
Q9Y258,P01375,4.5731,0.0,4.5731,2.3588,0.0,2.416,1.1757,24.11,738.7410000000001,738.7410000000001
Q04206,O95150,2.6756,0.0,2.6756,3.8142,0.6153,2.416,2.1077,24.11,770.929,770.929
Q5T7M4,P48023,45.9762,0.0,45.9762,1.7092,0.0,2.416,3.9008,0.0,740.5880000000001,740.5880000000001
P20160,P01375,3.109,6.7087,6.7087,1.2535,0.6153,2.416,1.1757,181.01,2660.39,2660.39
O43353,P23510,1.3385,3.8544,3.8544,1.0145,0.0,2.416,2.7714,24.11,631.251,631.251
Q9BXJ1,P01375,253.71599999999998,0.0,253.71599999999998,1.2535,0.0,2.416,2.1077,0.4,647.7959999999999,647.7959999999999
O00206,O75888,5.4987,3.52956,5.4987,0.0,0.0,2.416,2.7714,69.61,2562.88,2562.88
P01127,O43508,1.8315,0.0,1.8315,0.9127,0.0,2.013,3.9008,69.61,913.701,913.701
Q9NZQ7,P01375,33.1143,0.0,33.1143,0.5125,0.0,2.416,2.7714,5.86,665.8910000000001,665.8910000000001
Q7RTR2,O14788,2.2022,0.0,2.2022,0.0,0.0,2.416,2.7714,69.61,1026.42,1026.42
P01023,O14788,6.3361,5.43,6.3361,2.3254,0.0,2.416,1.5818,105.17,5921.89,5921.89
Q14289,P48023,2.3512,7.3468800000000005,7.3468800000000005,2.3588,0.0,2.416,2.1077,69.61,6142.87,6142.87
P10276,O14788,1.8315,3.52956,3.52956,2.3254,0.0,2.416,1.5818,69.61,2183.43,2183.43
P43405,P50591,1.8315,20.6892,20.6892,2.3254,0.0,2.416,3.9008,5.86,2656.99,2656.99
P08575,O14788,4.5731,3.52956,4.5731,1.2535,0.0,2.416,2.1077,24.11,703.7819999999999,703.7819999999999
P36544,P01375,3.6164,4.98492,4.98492,0.0,0.0,2.013,2.1077,69.61,1472.25,1472.25
O15455,O43557,5.4987,0.0,5.4987,0.0,0.0,2.416,1.1757,181.01,2827.2,2827.2
P01579,Q9Y275,1.8315,0.0,1.8315,0.9127,0.0,2.416,2.7714,69.61,779.117,779.117
P05067,O43508,2.4771,0.0,2.4771,20.9141,0.0,2.013,1.5818,5.86,966.664,966.664
P05231,P01375,1.2142,0.0,1.2142,1.2535,0.0,2.416,5.6875,181.01,3785.61,3785.61
P26842,P23510,43.0172,0.0,43.0172,0.5125,0.0,2.416,1.5818,24.11,2031.34,2031.34
P13500,O14788,4.5731,3.86531,4.5731,1.7951,0.0,2.416,1.1757,181.01,4220.81,4220.81
Q9H2K8,O14788,1.8315,6.7087,6.7087,1.7951,0.0,2.416,1.1757,24.11,824.7410000000001,824.7410000000001
P16581,P01375,12.8482,0.0,12.8482,0.0,0.0,2.416,2.1077,181.01,11842.7,11842.7
Q9BXN2,P01375,50.7951,0.0,50.7951,1.0145,0.0,2.416,2.7714,24.11,8318.92,8318.92
P04637,P32971,4.7738,0.0,4.7738,15.8699,0.0,2.416,1.5818,5.86,1696.62,1696.62
Q9NR96,P01375,5.4987,8.950239999999999,8.950239999999999,0.0,0.0,2.416,2.7714,181.01,10847.6,10847.6
O15519,Q9Y275,1.2704,12.1994,12.1994,1.2535,0.0,2.416,3.9008,5.86,844.5219999999999,844.5219999999999
P05067,Q9Y275,2.4439,3.84,3.84,20.9141,0.6153,2.416,1.1757,0.0,140.362,134442.0
O43524,O14788,1.6503,0.0,1.6503,1.0145,0.0,2.416,2.7714,69.61,780.3380000000001,780.3380000000001
P05362,P01375,6.0007,0.0,6.0007,2.3254,0.0,2.416,3.9008,181.01,23804.2,23804.2
Q9NR96,O43557,5.4987,8.950239999999999,8.950239999999999,0.0,0.0,2.416,3.9008,181.01,15268.2,15268.2
P80075,P29965,25.2364,0.0,25.2364,1.7951,0.0,2.416,1.1757,5.86,754.062,754.062
P42224,P50591,1.6435,20.6892,20.6892,19.2898,0.0,2.416,9.4687,10.8,98601.3,98601.3
P27986,P48023,4.5731,23.2116,23.2116,4.0064,0.0,2.416,1.1757,5.86,1547.93,7160170.0
O95407,P48023,199.672,0.0,199.672,1.7092,0.6153,2.416,0.4364,2.07,458.29900000000004,2119930.0
P43405,Q06643,2.2022,15.8041,15.8041,2.3254,0.6153,2.013,1.5818,69.61,5012.12,5012.12
Q9BYM8,P01375,4.803999999999999,3.52956,4.803999999999999,2.3588,0.0,2.416,1.5818,69.61,3014.49,13943900.0
O43318,O95150,1.5932,0.0,1.5932,2.3254,0.0,1.5978,0.8888,181.01,952.3510000000001,952.3510000000001
Q9Y6Y9,P50591,4.5731,0.0,4.5731,0.0,0.0,2.416,5.6875,10.8,678.6610000000001,678.6610000000001
Q9Y616,Q9Y275,1.9487,4.98492,4.98492,0.0,0.0,2.013,5.6875,24.11,1376.01,1376.01
P01023,Q9Y275,9.5575,0.0,9.5575,2.3254,0.0,2.416,2.7714,10.8,1607.17,1607.17
P78556,P01375,4.5731,0.0,4.5731,1.7092,0.0,2.416,5.6875,10.8,1159.97,1159.97
Q13490,O43557,2.7953,0.0,2.7953,1.7092,0.6153,2.416,1.1757,10.8,90.1832,86379.3
Q13418,P01375,1.8315,4.98492,4.98492,3.8142,0.0,2.013,1.1757,69.61,3132.37,3132.37
Q9Y6K9,P01375,0.0,0.0,0.0,1.7951,0.0,2.416,1.5818,69.61,477.539,2208920.0
Q14289,P01375,2.2022,3.67486,3.67486,1.7092,0.6153,2.416,2.1077,69.61,1369.93,1369.93
P04637,P50591,3.1219,0.0,3.1219,19.2898,0.0,2.416,1.5818,5.86,1348.63,1348.63
Q96EP0,P48023,3.1848,9.80166,9.80166,2.0764,0.0,2.013,1.5818,24.11,1562.44,1562.44
P42574,P01375,1.5955,12.1994,12.1994,2.3254,13.3811,0.0,1.5818,181.01,108688.0,108688.0
P78552,Q9Y275,5.4412,5.43,5.4412,0.0,0.0,2.416,3.9008,105.17,5393.08,5393.08
Q9Y5W3,P01375,4.5731,0.0,4.5731,1.2535,0.0,2.013,2.7714,181.01,5788.69,5788.69
Q8NHL6,P01374,6.0007,0.0,6.0007,15.8699,0.0,1.5978,1.5818,5.86,1410.42,1410.42
P13501,P48023,4.5731,9.80166,9.80166,2.3588,0.0,2.416,9.4687,10.8,5712.18,5712.18
Q06124,P23510,1.5932,23.2116,23.2116,2.0764,0.0,1.5978,1.1757,24.11,2182.89,2182.89
O43318,Q9Y275,1.9487,0.0,1.9487,2.3254,0.0,2.416,1.5818,105.17,1821.31,1821.31
P01127,P01375,1.8315,0.0,1.8315,1.2535,0.0,2.416,2.7714,181.01,2782.47,2782.47
P38398,Q9Y275,4.803999999999999,9.67699,9.67699,15.8699,0.0,2.416,1.1757,5.86,2556.26,2556.26
O75973,P01375,253.71599999999998,0.0,253.71599999999998,1.2535,0.0,2.416,2.7714,0.31,660.1310000000001,660.1310000000001
P27986,O95150,4.5731,23.6638,23.6638,4.0064,0.0,2.416,1.1757,10.8,2908.41,2908.41
O95999,Q92838,1.02,5.24327,5.24327,0.5125,0.0,2.416,1.5818,69.61,714.852,714.852
Q15848,P01375,45.9762,0.0,45.9762,1.2535,0.0,2.416,1.5818,181.01,39866.5,39866.5
O00206,O14788,5.4987,3.52956,5.4987,0.0,0.0,2.416,1.1757,105.17,1642.65,1642.65
Q7Z7G1,P48023,4.5731,23.2116,23.2116,2.3588,0.0,0.0,2.7714,5.86,889.187,889.187
P40763,O14788,1.7387,20.6892,20.6892,15.8699,0.0,2.416,1.1757,69.61,64920.7,64920.7
Q9H2K8,P01375,1.8563,4.98492,4.98492,1.7092,0.6153,2.416,1.1757,105.17,1566.11,1566.11
P40763,P23510,1.8315,23.2116,23.2116,21.3884,0.0,2.013,2.1077,5.86,12343.4,12343.4
O60260,P01375,25.2364,0.0,25.2364,1.0145,0.0,1.5978,1.5818,24.11,1560.09,1560.09
P05362,O75888,5.4987,0.0,5.4987,2.3254,0.0,2.416,2.1077,24.11,1569.86,1569.86
P05231,Q9Y275,1.8315,0.0,1.8315,0.5125,0.0,2.416,2.1077,181.01,865.185,865.185
Q6UWB1,P23510,3.8101,0.0,3.8101,0.0,0.0,2.416,2.1077,105.17,2040.49,2040.49
P42574,O43557,1.9487,0.0,1.9487,2.3254,0.6153,2.416,1.5818,105.17,1120.65,1120.65
O00206,P41273,5.4987,3.52956,5.4987,0.0,0.0,2.013,1.1757,2.07,26.9383,25802.0
P40763,P01375,2.2022,20.6892,20.6892,15.8699,0.0,2.416,2.1077,69.61,116385.0,116385.0
Q9BZS1,O95150,3.1219,0.0,3.1219,0.0,0.0,2.416,1.5818,69.61,830.4989999999999,830.4989999999999
P26022,P01375,5.0523,0.0,5.0523,0.9127,0.0,2.416,2.1077,105.17,2469.53,2469.53
Q06124,O43557,2.0697,20.6892,20.6892,2.4090000000000003,0.0,2.013,1.5818,24.11,3826.25,3826.25
Q99801,P01375,1.2704,0.0,1.2704,1.7092,0.0,2.013,2.7714,181.01,2192.7,2192.7
O15111,P01375,1.5932,4.09355,4.09355,1.7092,0.6153,2.416,1.1757,69.61,851.2260000000001,815321.0
O60674,Q06643,2.6756,15.8041,15.8041,2.4090000000000003,0.6153,2.013,1.5818,10.8,805.587,805.587
P20160,Q06643,5.4412,7.40526,7.40526,0.0,0.0,0.0,1.1757,69.61,606.05,606.05
P43405,P01375,7.7952,20.6892,20.6892,2.3254,0.6153,2.416,1.5818,105.17,11897.9,11897.9
Q9Y6C2,O14788,45.9762,3.52956,45.9762,0.5125,0.0,2.416,2.1077,24.11,2892.88,2892.88
P26842,P48023,66.1952,9.80166,66.1952,2.3588,0.0,2.416,3.9008,10.8,15892.5,15892.5
P02452,P01375,12.2069,0.0,12.2069,2.3588,3.1392,2.416,1.1757,24.11,6190.22,6190.22
Q9UNE0,Q06643,45.9762,4.98492,45.9762,0.9127,0.0,2.013,1.5818,10.8,1443.05,1443.05
P20749,Q9Y275,1.8315,3.86531,3.86531,0.0,0.0,2.416,2.7714,181.01,4684.71,4684.71
P06858,P01375,5.4412,0.0,5.4412,1.0145,0.0,2.416,1.1757,181.01,2838.2,2838.2
P09429,P01375,1.6809,0.0,1.6809,2.3254,0.0,2.416,1.5818,181.01,2703.9,2703.9
Q15848,Q9Y275,87.8085,0.0,87.8085,0.5125,0.0,2.416,1.5818,5.86,1007.81,1007.81
P17213,P01375,1.6503,0.0,1.6503,0.0,0.0,2.416,1.1757,181.01,848.5139999999999,848.5139999999999
P38398,Q06643,3.1848,9.67699,9.67699,15.8699,0.0,2.416,0.8888,2.07,682.6310000000001,682.6310000000001
O15519,P48023,1.02,0.0,1.02,1.2535,30.1977,2.416,2.1077,24.11,4740.25,4540310.0
P51617,P23510,1.3385,3.8544,3.8544,2.0764,0.0,2.416,0.7962,69.61,1071.66,1071.66
P78552,P23510,3.8101,2.59,3.8101,0.0,0.0,2.416,1.5818,105.17,1531.36,1531.36
P27986,O43557,2.0697,20.6892,20.6892,4.0064,0.0,2.416,1.1757,10.8,2542.82,2542.82
O95786,Q9Y275,1.6435,2.60197,2.60197,0.0,0.0,2.416,9.4687,10.8,642.855,642.855
P29460,Q9Y275,2.9486,3.52956,3.52956,0.0,0.0,2.416,1.5818,69.61,938.946,938.946
O00182,P01375,12.2069,0.0,12.2069,1.2535,0.6153,2.416,1.5818,24.11,867.4860000000001,867.4860000000001
O00626,P01375,4.803999999999999,0.0,4.803999999999999,2.3588,0.0,2.416,2.7714,10.8,819.434,819.434
P02452,Q92838,18.4132,3.84,18.4132,1.3730000000000002,0.0,2.416,2.7714,10.8,1828.18,1828.18
P38398,P29965,1.8531,9.67699,9.67699,15.8699,0.0,2.416,0.8888,10.8,3561.55,3561.55
P08575,O75888,4.5731,3.52956,4.5731,1.2535,0.0,2.416,2.7714,69.61,2671.79,2671.79
O15304,O43557,0.0,2.60197,2.60197,1.2535,0.0,2.013,1.5818,105.17,1092.23,1092.23
Q13489,P01375,2.7953,8.37556,8.37556,1.7092,3.1392,2.416,2.7714,5.86,1763.27,180799.0
P05067,P01375,4.5731,0.0,4.5731,20.9141,13.3811,2.416,0.6915,24.11,51549.9,51549.9
P80075,P01375,25.2364,0.0,25.2364,2.3588,0.0,2.416,1.5818,10.8,2456.92,2456.92
P29590,O95150,1.8315,0.0,1.8315,3.8142,0.0,2.416,1.5818,24.11,643.659,643.659
P18428,P01375,2.3512,0.0,2.3512,0.0,0.0,2.416,1.5818,105.17,944.9960000000001,944.9960000000001
Q9Y6K9,Q9Y275,0.0,0.0,0.0,1.7951,0.0,2.416,1.5818,181.01,1241.77,1241.77
P38398,O95150,3.1848,9.67699,9.67699,15.8699,0.0,2.416,0.8888,2.07,682.6310000000001,682.6310000000001
Q96EB6,P23510,1.7387,0.0,1.7387,15.8699,0.0,1.1933,1.1757,69.61,2694.74,2694.74
O60603,P01375,5.4987,3.52956,5.4987,0.0,0.0,2.416,3.9008,181.01,9380.22,9380.22
Q13489,P29965,2.7953,0.0,2.7953,1.0145,0.6153,2.416,2.7714,5.86,68.4638,65576.0
Q15389,O43508,1.3385,3.52956,3.52956,0.0,0.0,2.013,1.5818,69.61,782.326,782.326
P05231,P23510,1.2265,0.0,1.2265,0.0,0.0,2.416,2.1077,181.01,1130.51,1130.51
Q9BZS1,O75888,3.1219,0.0,3.1219,0.0,0.0,2.416,2.1077,69.61,1106.61,1106.61
P78560,P48023,1.02,0.0,1.02,1.7092,0.0,2.416,1.1757,181.01,896.3739999999999,896.3739999999999
P02776,P01375,4.5731,0.0,4.5731,2.3588,0.0,0.0,2.1077,69.61,1582.64,1582.64
O00182,P50591,5.4412,0.0,5.4412,0.0,0.6153,2.416,5.6875,24.11,1109.17,1109.17
P10276,O75888,1.8531,3.67486,3.67486,2.4090000000000003,0.0,2.416,2.1077,69.61,3138.01,3138.01
Q96EB6,P01375,1.8563,0.0,1.8563,15.8699,0.0,2.013,0.6915,105.17,4312.71,4312.71
P38398,P01374,1.8315,9.67699,9.67699,19.2898,0.0,2.416,0.8888,5.86,2348.91,2348.91
Q15303,O14788,2.0697,6.7087,6.7087,1.7951,0.0,2.416,2.1077,24.11,1478.53,1478.53
Q07812,P48023,0.9682,0.0,0.9682,1.0145,0.0,2.416,1.5818,181.01,679.467,679.467
P42224,P32971,1.6435,14.0867,14.0867,15.8699,0.0,2.416,2.1077,5.86,6670.94,6670.94
O15111,O14788,3.1848,4.58774,4.58774,2.4090000000000003,0.6153,2.416,1.1757,181.01,3496.38,3496.38
