"id","Protein.Name","Accession.Number","Molecular.Weight","Protein.Group.Score","Identified.Peptide.Count","Quantitative.Value","UniprotID","Gene_name","Description","Q11.1D","Q11.2D","Q11.3D","Q11.3D.R2","Q12.1D","Q12.2D","Q12.3D","Q12.3D.R2","Q13.1D","Q13.2D","Q13.3D","Q13.3D.R2","Q14.1D","Q14.2D","Q14.3D","Q15.1D","Q15.2D","Q15.3D","R71.1D","R71.2D","R71.3D","R72.1D","R72.2D","R72.3D","R73.1D","R73.2D","R73.3D","R74.1D","R74.2D","R74.3D","R75.1D","R75.2D","R75.3D","logFC_Fish.Oil.Diet_vs_Control.Diet","CI.L_Fish.Oil.Diet_vs_Control.Diet","CI.R_Fish.Oil.Diet_vs_Control.Diet","AveExpr_Fish.Oil.Diet_vs_Control.Diet","t_Fish.Oil.Diet_vs_Control.Diet","B_Fish.Oil.Diet_vs_Control.Diet","P.Value_Fish.Oil.Diet_vs_Control.Diet","adj.P.Val_Fish.Oil.Diet_vs_Control.Diet","sig.PVal_Fish.Oil.Diet_vs_Control.Diet","sig.FDR_Fish.Oil.Diet_vs_Control.Diet"
"11","sp|Q99MN9|PCCB_MOUSE Propionyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus OX=10090 GN=Pccb PE=1 SV=2","PCCB_MOUSE","58 kDa",0.999973496,22,NA,"Q99MN9","Pccb","Propionyl-CoA carboxylase beta chain, mitochondrial",26.5827321122229,26.5503272054995,26.7786672398459,26.7320830623409,26.3132284026645,26.3049138028842,26.2836792465334,26.3133559883757,26.4141636030882,26.4424921914175,26.2589783050243,26.3377693756657,26.235568524518,26.2255843530925,26.2243100412489,26.377175318492,26.3056588836324,26.2090995912884,26.2642396511166,26.3692220844426,26.1694453467387,26.283000350252,26.2305221944349,26.1681783669372,26.2081996652425,26.120056555477,26.1376249715464,26.2555098602025,26.2332483627655,26.2057166011787,26.2400450620136,26.2165971169081,26.1116688932475,-0.168547619379478,-0.271853083957156,-0.065242154801799,26.3061534039497,-3.32037140421695,-2.67748863021573,0.00221512100456715,0.00861601575127734,0,0
"12","sp|Q99KR7|PPIF_MOUSE Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus OX=10090 GN=Ppif PE=1 SV=1","PPIF_MOUSE","22 kDa",0.999972948,5,NA,"Q99KR7","Ppif","Peptidyl-prolyl cis-trans isomerase F, mitochondrial",24.8615454517714,24.8347148678433,24.5876016625186,25.0569437848863,24.7019281199795,24.6918852542294,24.4758191108093,24.5222521760757,24.8011003265285,24.8433162075886,24.3957441952102,24.5208099892056,24.7506742782231,24.7733383887044,24.4375468143611,24.8279589129176,24.7322654903106,24.6505346967324,24.8310558794419,24.8178022326469,24.5017412891765,24.8331225142508,24.681274322879,24.5422495621401,24.5194426709104,24.4484561079092,24.4065571094406,24.5677251540514,24.5389788824481,24.5133354939587,24.7280072345816,24.7087758329153,24.701093567706,-0.0699132390304378,-0.189603735691164,0.0497772576302888,24.6607756843137,-1.18874058789803,-6.84782133645947,0.243090441314785,0.373881955304172,0,0
"13","sp|Q9DBG5|PLIN3_MOUSE Perilipin-3 OS=Mus musculus OX=10090 GN=Plin3 PE=1 SV=1","PLIN3_MOUSE","47 kDa",0.999971536,14,NA,"Q9DBG5","Plin3","Perilipin-3",26.8399800122589,26.7710634818866,26.657727117645,26.9049790770765,26.6312782039263,26.6405846672587,27.0542664503991,26.7708920225749,26.5613468927295,26.5519992869159,26.7884223432922,26.5604334427091,26.6438878448716,26.6426012325199,26.8588412169821,26.4911997967887,26.4352141778612,26.6663929988121,25.6924564611881,25.7508844258663,25.823669760626,26.2424273188309,26.2370672951879,26.3184304992816,26.2649582674268,26.2521004144739,26.3800937148268,26.0376264625386,25.8236371400467,25.9547350604654,26.0941664068953,25.9450836376906,26.0823408404707,-0.632860945529433,-0.77061408605534,-0.495107805003527,26.4051753931007,-9.34962353586724,14.2583239911512,9.13788128564068e-11,6.09487016961107e-09,0,0
"14","sp|P68037|UB2L3_MOUSE Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus OX=10090 GN=Ube2l3 PE=1 SV=1","UB2L3_MOUSE","18 kDa",0.999970828,6,NA,"P68037","Ube2l3","Ubiquitin-conjugating enzyme E2 L3",25.8254537404595,25.8495736744211,26.3510423933897,25.8748943553562,25.8049040360098,25.8096371400636,26.0100259888208,25.9585470233027,25.707894093169,25.6901991718935,25.7022764188165,25.7779549170624,25.6718018509374,25.7243882874888,25.7097274965012,25.694181354067,25.7110514868599,25.7178002813113,25.6195804938397,25.4461619831629,25.5685795797418,25.7358770564801,25.7101071453818,25.8268096263898,25.8453865531533,25.8374058144987,25.93257849992,25.7399625139678,25.8825481486543,25.8708963419041,25.5524590421232,25.6892013067612,25.7349321815147,-0.0777983424965853,-0.193231772480733,0.0376350874875622,25.7752678787098,-1.37159559361241,-6.61878011163203,0.179514081262834,0.298845446341929,0,0
"15","sp|Q9Z1E4|GYS1_MOUSE Glycogen [starch] synthase, muscle OS=Mus musculus OX=10090 GN=Gys1 PE=1 SV=2","GYS1_MOUSE","84 kDa",0.999970695,18,NA,"Q9Z1E4","Gys1","Glycogen [starch] synthase, muscle",25.5283269688811,25.4436656692388,25.0885821987989,25.383663394063,25.3688108808385,25.5305267498594,25.4241097721933,25.443140637756,25.3340718948811,25.319252190454,25.2675332213493,25.181569008345,25.3838637812498,25.3369562567365,25.1625818943642,25.4493489894451,25.368196781116,25.3573663112173,24.6771350322236,24.7222418966692,24.8365302086848,25.1628107859059,25.4291069159396,25.3507626848418,25.2588891823552,25.2770734834666,25.4595130056491,25.1348640382427,25.2448491683204,25.1754531775932,25.1723974387716,25.2141651672513,25.1049346304587,-0.205927467841068,-0.337984491453416,-0.0738704442287205,25.2603725277928,-3.1735117595916,-3.04788430546184,0.00326848519622409,0.0118221804969808,0,0
"16","sp|P29699|FETUA_MOUSE Alpha-2-HS-glycoprotein OS=Mus musculus OX=10090 GN=Ahsg PE=1 SV=1","FETUA_MOUSE","37 kDa",0.999970034,7,NA,"P29699","Ahsg","Alpha-2-HS-glycoprotein",26.0158281768515,25.6116651796727,25.9484921789516,25.9185346167773,25.7330450033241,25.8811286434534,25.7062999749021,25.4979695979807,25.3763447087963,25.3335303707098,25.3775559910865,25.3068028673368,25.7450502606979,25.4520540810493,25.7560979690433,25.6675760809918,25.7358745359404,25.8210878445823,25.5165797273967,25.501718234981,25.5089743698136,25.6655720559015,25.7706211694956,25.8533325423735,26.3455578371954,26.4459336608642,26.3978238354474,26.6072935348001,26.7091811163436,26.8324115137901,26.1827844520519,26.3716582676974,26.4726587522153,0.485199066794038,0.236549700781252,0.733848432806825,25.880819368258,3.97138947993631,-0.94791995066863,0.000369082404044929,0.00192535766731019,0,0
"17","sp|O35643|AP1B1_MOUSE AP-1 complex subunit beta-1 OS=Mus musculus OX=10090 GN=Ap1b1 PE=1 SV=2","AP1B1_MOUSE","104 kDa",0.99996903,25,NA,"O35643","Ap1b1","AP-1 complex subunit beta-1",23.8421012408266,23.7609485848499,23.8478665092419,23.4600957831189,23.7805296340326,23.769616978222,23.7001986786567,23.8442413236582,23.8950159148592,23.7569546193387,23.6734113791145,23.5192605878262,23.4966459707649,23.8314569893482,23.7084905726571,24.0702579605944,23.7671754676921,23.6634130625009,23.5608419263319,23.8004982920352,23.6433018586647,23.8178915410277,23.6617618897584,23.3584997078065,23.7064759469856,23.8009916921046,23.0890651631661,23.6641546896656,23.68135109181,23.5055681710443,23.6580181501177,23.7786548811549,23.2162028986788,-0.147541543160038,-0.282028460885053,-0.0130546254350235,23.6766957320501,-2.23265499741809,-5.17476062347594,0.0325269967368144,0.0767998534063673,0,0
"18","sp|O08553|DPYL2_MOUSE Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2","DPYL2_MOUSE","62 kDa",0.999968914,19,NA,"O08553","Dpysl2","Dihydropyrimidinase-related protein 2",26.8322598658279,27.0078526925915,27.0729014620892,26.8764535405284,27.1292911919968,27.118968100698,26.8743914972206,27.017684298349,27.0034126199394,27.0760241930626,26.7796880618787,26.8352621740755,27.0089945121567,27.0351618400062,26.7186982407247,27.0943393470554,27.0103685225782,26.8502279549149,26.9715702066866,27.152228033397,26.8397432580157,27.1322152659859,27.2259825599718,26.9406791917063,27.1488039372896,27.0586934697661,26.9325077214778,27.0630493532496,27.0968551496187,26.9258527198163,27.0636525787998,26.9907832766907,26.7697748310543,0.0573827638076381,-0.0398152981560666,0.154580825771343,26.9895264142188,1.20146519313395,-6.83284647257571,0.238187812952976,0.368305392955646,0,0
"19","sp|P97807|FUMH_MOUSE Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3","FUMH_MOUSE","54 kDa",0.999968736,20,NA,"P97807","Fh","Fumarate hydratase, mitochondrial",29.0914375629288,29.0694624343393,29.1233948868356,28.9998302555063,29.0268028567215,29.1043897116099,29.2884472005855,29.1257750803103,29.1336798211413,29.1440364727127,29.4455155334146,29.2327902710586,28.9913652382628,28.9313845511972,29.1469025307124,29.1827861754569,29.1968463175751,29.3811335057934,29.1551181891958,28.9571537922624,29.2822622492825,29.2277450888626,29.1590782489855,29.3607490655293,29.0398407744874,29.1087087909796,29.2437635699861,29.1684571259225,29.2404985800148,29.4046423769476,29.0951659310538,29.2334210143187,29.3733091420376,0.0579953512042799,-0.0412463749306893,0.157237077339249,29.1716937680615,1.18928573737242,-6.84718277742124,0.242878891494704,0.373881955304172,0,0
"20","sp|Q60597|ODO1_MOUSE 2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ogdh PE=1 SV=3","ODO1_MOUSE","116 kDa",0.999968099,50,NA,"Q60597","Ogdh","2-oxoglutarate dehydrogenase, mitochondrial",29.681741751213,29.6295624450708,29.8631565841536,29.6315189054329,29.4747095271351,29.4927563646755,29.7772502309612,29.5683561792532,29.6774360829613,29.6189665084815,29.8600280056487,29.6897574767928,29.4215085953056,29.477791997766,29.7097168423663,29.474670159345,29.5165107944413,29.6502931698126,29.8832341377732,29.9190813914287,29.9943489218734,29.7301325112432,29.8389706853506,29.8907807809463,29.7345184767479,29.685997936117,29.7413959016048,29.7439912095022,29.6209925514049,29.7594562610868,29.8861008598427,29.8471839860581,29.9031254144562,0.188857867205925,0.0951676415646805,0.28254809284717,29.7089406862501,4.10230676535602,-0.584428639066692,0.000254110081348718,0.0014068546649383,0,0
"21","sp|P63038|CH60_MOUSE 60 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspd1 PE=1 SV=1","CH60_MOUSE","61 kDa",0.999967808,32,NA,"P63038","Hspd1","60 kDa heat shock protein, mitochondrial",30.0392287706905,30.2690430647111,30.276129758226,30.1871227765524,29.9380037163926,30.0921932144424,30.2798908560914,30.171474465599,30.1926694114968,30.1563317860144,30.3237398167207,30.1321770874431,30.0368557854194,30.0448360687441,30.2498926466768,30.2422474431508,30.2063155653458,30.4102293698705,30.2086678887872,30.2418882068968,30.5261449104921,30.2828785860813,30.41227097515,30.5584444789549,30.3394081842234,30.411487738149,30.5864983897831,30.5532161683615,30.6562088015288,30.6667004291915,30.4954730092582,30.5856948289649,30.6163202575704,0.295621212249095,0.192953708199591,0.3982887162986,30.3148389229388,5.85989624985998,4.49528046954562,1.49793780620986e-06,1.61531352983078e-05,0,0
"22","sp|Q9WVK4|EHD1_MOUSE EH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ehd1 PE=1 SV=1","EHD1_MOUSE","61 kDa",0.999967417,15,NA,"Q9WVK4","Ehd1","EH domain-containing protein 1",24.2432475908718,24.2550922456905,24.10358378083,24.3323201137116,24.0749689787625,24.1291372955982,24.26307716664,24.2571018668704,24.2699265800246,24.2390351875816,24.2374825703937,24.0579753605087,24.2598712266576,24.2488889783535,24.4494111615448,24.3019428252035,24.3292582034499,24.5240010498709,23.9255469388959,24.2860852394949,24.2291189861994,23.9926597099244,24.1074938501182,24.2178538820091,24.149366629021,24.3495593251074,24.2362285200191,24.4306287198229,24.2828924104025,24.4770844774944,24.1864724048999,24.1481793047875,24.1788188482941,-0.0410408381541707,-0.141962694763794,0.0598810184554523,24.2355851948198,-0.827595894227292,-7.21040187623417,0.413889597439744,0.550963121419097,0,0
"23","sp|Q9CPQ3|TOM22_MOUSE Mitochondrial import receptor subunit TOM22 homolog OS=Mus musculus OX=10090 GN=Tomm22 PE=1 SV=3","TOM22_MOUSE","16 kDa",0.999967124,3,NA,"Q9CPQ3","Tomm22","Mitochondrial import receptor subunit TOM22 homolog",24.0616112375129,23.953481022588,24.6764363031233,24.2921095836778,23.7666042888774,23.7074116398386,23.5253736446925,23.5468895367064,23.4942990816115,23.4119705463528,23.1802540378476,23.4065365096195,23.3063058342448,23.3573820807894,23.2551985446242,23.5712939416821,23.6607802375757,23.6338014350017,23.3422132056469,23.6059851608677,23.5899119762942,23.4434343216812,23.510728799079,23.7214273233633,23.7577532660496,23.7138290393081,24.090669108893,23.8118969572028,23.6578045776475,23.9482125476506,23.6614315696362,23.4521360521453,23.8432163729441,0.0207244904291812,-0.200993823620142,0.242442804478504,23.6654057510538,0.190227823097025,-7.54014985175665,0.850305190446825,0.903042848084946,0,0
"24","sp|Q9D404|OXSM_MOUSE 3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Mus musculus OX=10090 GN=Oxsm PE=1 SV=1","OXSM_MOUSE","49 kDa",0.999966733,7,NA,"Q9D404","Oxsm","3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",22.599767613492,22.5581823131385,22.8722375472949,22.3885551184312,22.7268277597355,22.8785893968746,22.9712428080194,22.8903692417274,22.8668755474504,22.8047854435992,22.782001690251,22.7622161436607,22.6990265342397,22.7329909577278,22.696534133396,22.8178519854056,22.8925925574283,22.9597147811875,22.9010478958596,22.8712461056198,22.7826707146773,22.8730419127937,22.6167925059162,22.6782696730146,22.6029493020216,22.4021650521108,22.5279217317218,22.551694023902,22.6977771237697,22.4709931416117,22.8063786869106,22.6401472357636,22.769805800039,-0.0927155825656456,-0.205890518110163,0.0204593529788714,22.7300988629937,-1.66720810517297,-6.18787062184017,0.105009726350527,0.196172016259227,0,0
"25","sp|P54071|IDHP_MOUSE Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus OX=10090 GN=Idh2 PE=1 SV=3","IDHP_MOUSE","51 kDa",0.999966635,26,NA,"P54071","Idh2","Isocitrate dehydrogenase [NADP], mitochondrial",31.9888077355799,32.0327178673825,32.3171789976905,32.013201584995,31.9538479066846,31.9423432163055,32.1718808457021,32.0097378573866,32.2007615823527,32.2283618423202,32.2614668068104,32.2449573020546,31.9648694035224,31.9819323358952,32.0930186806969,31.9906463205269,32.0127974967955,31.994213299102,32.2116314129139,32.2041895410287,32.1728208368383,32.2371684403251,32.1843861232766,32.111337512347,31.9522999474695,31.7916880065362,31.8442409102451,31.9202080952062,31.8751144501462,31.8749450181939,32.2502399092735,32.1804024406644,32.0986357399065,-0.0173095011421225,-0.125707050448526,0.0910880481642812,32.0700621050356,-0.324976850504231,-7.50455102788527,0.747265585863355,0.824903568810197,0,0
"26","sp|Q9CQV1|TIM16_MOUSE Mitochondrial import inner membrane translocase subunit TIM16 OS=Mus musculus OX=10090 GN=Pam16 PE=1 SV=1","TIM16_MOUSE","14 kDa",0.999966089,3,NA,"Q9CQV1","Pam16","Mitochondrial import inner membrane translocase subunit TIM16",22.4735705102962,22.7621578945624,22.8928455625396,22.4120414798355,22.5283644037169,22.6196070915397,22.3111091932146,22.2681062416269,22.4958224115644,22.5638056015851,22.3984869977461,22.2990364332337,22.233217341497,22.3741647438996,21.8978099496614,22.6702847701473,22.5000584632373,22.1389460560336,23.1376353800079,23.2865077595516,23.0162580310318,23.1999883986188,23.0731719910867,22.7733125427972,23.3309388063926,22.9608039864087,22.8725932200298,23.1673972237267,22.9706387227526,22.8588861416491,23.0587620441104,22.8766555554421,22.7675628900945,0.587883338139072,0.436205134928517,0.739561541349627,22.7027438739284,7.88778952435533,10.3214681337854,4.52254895478821e-09,1.28138887052333e-07,0,0
"27","sp|Q8QZT1|THIL_MOUSE Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Acat1 PE=1 SV=1","THIL_MOUSE","45 kDa",0.999964831,17,NA,"Q8QZT1","Acat1","Acetyl-CoA acetyltransferase, mitochondrial",29.5404402731492,29.3995971829791,29.3718291265687,29.7236355433875,29.108912033147,29.2037552884145,29.3595443668633,29.2605623082392,29.4433238697921,29.4313140617275,29.6944567797464,29.5246996657193,29.359963111928,29.2943530029737,29.4429840960122,29.2284787716231,29.1982940629394,29.3303244370205,29.6000183696128,29.4918393856954,29.5521981112089,29.3652696369194,29.3649245416504,29.4924760072462,29.2579980650538,29.2762375765355,29.343829291546,29.3500869642085,29.3254811869496,29.5138320228173,29.3170015948025,29.405721010792,29.4840986424938,0.0251526059337621,-0.0817614554507758,0.1320666673183,29.3956812239322,0.478779444486459,-7.44134746030807,0.635276823493606,0.742313437728772,0,0
